source,line,static_link_pattern
client/src/components/admin/PricingLogicPanel.jsx,1313,/admin/pricing-config/${…}
client/src/components/admin/PricingLogicPanel.jsx,1325,/admin/pricing-config/${…}
client/src/components/admin/PricingLogicPanel.jsx,1751,/admin/pricing-config/lawn-brackets
client/src/components/admin/PricingLogicPanel.jsx,1768,/admin/pricing-config/lawn-brackets/${…}
client/src/components/admin/PricingLogicPanel.jsx,1918,/admin/pricing-config/discount-rules
client/src/components/admin/PricingLogicPanel.jsx,1932,/admin/pricing-config/discount-rules/${…}
client/src/components/admin/PricingLogicPanel.jsx,2189,/admin/inventory?limit=200
client/src/components/admin/PricingLogicPanel.jsx,2360,/admin/pricing-config/audit-log?limit=30
client/src/components/admin/PricingLogicPanel.jsx,2424,/admin/pricing-config
client/src/components/admin/PushSettings.jsx,87,/admin/push/preferences
client/src/components/admin/PushSettings.jsx,126,/admin/push/preferences
client/src/components/admin/PushSettingsV2.jsx,116,/admin/push/preferences
client/src/components/admin/PushSettingsV2.jsx,161,/admin/push/preferences
client/src/components/admin/ServiceOutlineComposerModal.jsx,135,/admin/service-outlines/preview
client/src/components/admin/ServiceOutlineComposerModal.jsx,158,/admin/service-outlines/${…}/events
client/src/components/admin/ServiceOutlineComposerModal.jsx,170,/admin/service-outlines/${…}
client/src/components/admin/ServiceOutlineComposerModal.jsx,200,/admin/service-outlines
client/src/components/admin/ServiceOutlineComposerModal.jsx,230,/admin/service-outlines/${…}/approve
client/src/components/admin/ServiceOutlineComposerModal.jsx,236,/admin/service-outlines/${…}/send
client/src/components/admin/ServiceOutlineComposerModal.jsx,277,/admin/service-outlines/${…}/regenerate
client/src/components/admin/StickyActionBar.jsx,133,/admin/estimates?${…}
client/src/components/admin/StickyActionBar.jsx,133,/admin/estimates
client/src/components/admin/StickyActionBar.jsx,145,/admin/communications?phone=${…}&action=sms
client/src/components/admin/StickyActionBar.jsx,167,/admin/schedule?customer=${…}
client/src/components/admin/StickyActionBar.jsx,177,/admin/invoices?customer=${…}
client/src/components/dashboard/AiChartsPanel.jsx,263,/admin/dashboard/widgets
client/src/components/dashboard/AiChartsPanel.jsx,278,/admin/dashboard/ai-chart/preview
client/src/components/dashboard/AiChartsPanel.jsx,294,/admin/dashboard/widgets
client/src/components/dashboard/AiChartsPanel.jsx,309,/admin/dashboard/widgets/${…}
client/src/components/dashboard/SmsInboxWidget.jsx,27,${…}/admin/dashboard-ops/inbox
client/src/components/dashboard/SmsInboxWidget.jsx,47,${…}/admin/dashboard-ops/inbox/${…}/read
client/src/components/dashboard/SmsInboxWidget.jsx,58,${…}/admin/dashboard-ops/inbox/${…}/reply
client/src/components/dashboard/SmsInboxWidget.jsx,78,/admin/communications
client/src/components/dispatch/JobDrawer.jsx,249,${…}/admin/dispatch/jobs/${…}
client/src/components/dispatch/JobDrawer.jsx,321,${…}/admin/schedule/${…}/${…}
client/src/components/dispatch/JobDrawer.jsx,345,${…}/admin/dispatch/technicians
client/src/components/dispatch/JobDrawer.jsx,371,${…}/admin/dispatch/jobs/${…}/assign
client/src/components/dispatch/JobDrawer.jsx,411,${…}/admin/dispatch/${…}/status
client/src/components/dispatch/TechDrawer.jsx,130,${…}/admin/dispatch/techs/${…}
client/src/components/equipment/MileageTab.jsx,58,/admin/mileage/dashboard
client/src/components/equipment/MileageTab.jsx,65,/admin/mileage/trips?page=${…}&limit=30
client/src/components/equipment/MileageTab.jsx,83,/admin/mileage/daily?start_date=${…}&end_date=${…}
client/src/components/equipment/MileageTab.jsx,89,/admin/mileage/irs-report?year=${…}
client/src/components/equipment/MileageTab.jsx,101,/admin/mileage/sync
client/src/components/equipment/MileageTab.jsx,106,/admin/mileage/trips/${…}
client/src/components/equipment/MileageTab.jsx,113,/admin/mileage/trips/${…}
client/src/components/equipment/MileageTab.jsx,120,/admin/mileage/irs-report/export?year=${…}
client/src/components/estimates/CommercialProposalModal.jsx,77,/admin/estimates/${…}/proposal
client/src/components/estimates/CommercialProposalModal.jsx,165,/admin/estimates/${…}/proposal
client/src/components/estimates/CommercialProposalModal.jsx,200,${…}/admin/estimates/${…}/proposal.pdf
client/src/components/schedule/AnnualPrepayLauncher.jsx,8,../admin/Customer360ProfileV2
client/src/components/schedule/AnnualPrepayLauncher.jsx,57,/admin/customers/${…}
client/src/components/schedule/AnnualPrepayLauncher.jsx,106,/admin/invoices/${…}
client/src/components/schedule/AnnualPrepayLauncher.jsx,121,/admin/invoices/${…}/void
client/src/components/schedule/CalendarViewsV2.jsx,64,/admin/login
client/src/components/schedule/CalendarViewsV2.jsx,171,/admin/schedule/week?start=${…}
client/src/components/schedule/CalendarViewsV2.jsx,416,/admin/schedule/month?month=${…}
client/src/components/schedule/CalendarViewsV2.jsx,495,/admin/dispatch/${…}/reschedule
client/src/components/schedule/CreateAppointmentModal.jsx,520,/admin/services?${…}
client/src/components/schedule/CreateAppointmentModal.jsx,562,/admin/customers/${…}/schedule-estimates
client/src/components/schedule/CreateAppointmentModal.jsx,572,/admin/estimates/${…}/schedule-source
client/src/components/schedule/CreateAppointmentModal.jsx,671,/admin/schedule/annual-prepay-availability
client/src/components/schedule/CreateAppointmentModal.jsx,708,/admin/schedule/card-request-availability
client/src/components/schedule/CreateAppointmentModal.jsx,1041,/admin/technicians
client/src/components/schedule/CreateAppointmentModal.jsx,1048,/admin/discounts
client/src/components/schedule/CreateAppointmentModal.jsx,1081,/admin/schedule/mosquito-onetime-quote?customerId=${…}
client/src/components/schedule/CreateAppointmentModal.jsx,1100,/admin/customers?search=${…}&limit=8
client/src/components/schedule/CreateAppointmentModal.jsx,1122,/admin/customers/quick-add
client/src/components/schedule/CreateAppointmentModal.jsx,1166,/admin/schedule/find-time
client/src/components/schedule/CreateAppointmentModal.jsx,1460,/admin/schedule/annual-prepay-preview?${…}
client/src/components/schedule/CreateAppointmentModal.jsx,1545,/admin/schedule/mosquito-onetime-quote?customerId=${…}
client/src/components/schedule/CreateAppointmentModal.jsx,1720,/admin/schedule
client/src/components/schedule/CreateAppointmentModal.jsx,1806,/admin/schedule/annual-prepay-preview?${…}
client/src/components/schedule/CreateAppointmentModal.jsx,1818,/admin/customers/${…}/annual-prepay-invoice
client/src/components/schedule/InlineTechPicker.jsx,22,${…}/admin/schedule/${…}/assign
client/src/components/schedule/MarkPrepaidModal.jsx,177,/admin/schedule/${…}/prepaid
client/src/components/schedule/MobileAppointmentDetailSheet.jsx,180,/admin/schedule/${…}/card-request
client/src/components/schedule/MobileAppointmentDetailSheet.jsx,190,/admin/schedule/${…}/card-request
client/src/components/schedule/MobileAppointmentDetailSheet.jsx,193,/admin/schedule/${…}/card-request
client/src/components/schedule/MobileAppointmentDetailSheet.jsx,205,/admin/schedule/annual-prepay-availability
client/src/components/schedule/MobileAppointmentDetailSheet.jsx,224,/admin/schedule/${…}/estimate-source
client/src/components/schedule/MobileAppointmentDetailSheet.jsx,336,/admin/dispatch/${…}/note
client/src/components/schedule/MobileAppointmentDetailSheet.jsx,377,/admin/dispatch/${…}/status
client/src/components/schedule/MobileCardOnFileSheet.jsx,57,${…}/admin/customers/${…}/cards
client/src/components/schedule/MobileCardOnFileSheet.jsx,72,${…}/admin/invoices/${…}/charge-card
client/src/components/schedule/MobileCashTenderSheet.jsx,64,${…}/admin/invoices/${…}/record-payment
client/src/components/schedule/MobileCheckTenderSheet.jsx,34,${…}/admin/invoices/${…}/record-payment
client/src/components/schedule/MobileCheckoutSheet.jsx,253,${…}/admin/schedule/${…}/invoice
client/src/components/schedule/MobileCustomerDetailSheet.jsx,23,../admin/CallBridgeLink
client/src/components/schedule/MobileCustomerDetailSheet.jsx,64,/admin/customers/${…}${…}
client/src/components/schedule/MobileCustomerDetailSheet.jsx,134,/admin/customers?customerId=${…}
client/src/components/schedule/MobileCustomerDetailSheet.jsx,174,/admin/customers?customerId=${…}
client/src/components/schedule/MobileCustomerDetailSheet.jsx,325,/admin/customers?customerId=${…}
client/src/components/schedule/MobileDispatchList.jsx,434,/admin/schedule/week?start=${…}
client/src/components/schedule/MobileItemDiscountPickerSheet.jsx,47,/admin/discounts
client/src/components/schedule/MobilePaymentSheet.jsx,67,${…}/admin/invoices/${…}/send
client/src/components/schedule/MobileServiceEditModal.jsx,104,/admin/schedule/${…}/update-details
client/src/components/schedule/MobileServicePickerSheet.jsx,46,/admin/services?is_active=true&limit=500
client/src/components/schedule/MobileWeekGrid.jsx,420,/admin/schedule/week?start=${…}
client/src/components/schedule/MobileWeekGrid.jsx,594,/admin/dispatch/${…}/reschedule
client/src/components/schedule/MobileWeekGrid.jsx,616,/admin/schedule/week?start=${…}
client/src/components/schedule/PrepaySwitchSheet.jsx,144,/admin/schedule/annual-prepay-preview?scheduledServiceId=${…}
client/src/components/schedule/PrepaySwitchSheet.jsx,159,/admin/schedule/${…}/prepay-switch/undo
client/src/components/schedule/PrepaySwitchSheet.jsx,184,/admin/schedule/${…}/prepay-switch
client/src/components/schedule/PrepaySwitchSheet.jsx,229,/admin/invoices/${…}
client/src/components/schedule/PrepaySwitchSheet.jsx,257,/admin/invoices/${…}/void
client/src/components/schedule/PrepaySwitchSheet.jsx,295,/admin/invoices/${…}
client/src/components/schedule/PrepaySwitchSheet.jsx,303,/admin/schedule/${…}/prepay-switch/status?invoiceId=${…}
client/src/components/schedule/PrepaySwitchSheet.jsx,311,/admin/schedule/${…}/prepay-switch/status?invoiceId=${…}
client/src/components/schedule/RainOutSheet.jsx,335,${…}/admin/dispatch/${…}/rain-out-options
client/src/components/schedule/RainOutSheet.jsx,460,${…}/admin/dispatch/${…}/rain-out/custom-preview
client/src/components/schedule/RainOutSheet.jsx,495,${…}/admin/dispatch/${…}/rain-out/target-check
client/src/components/schedule/RainOutSheet.jsx,574,${…}/admin/dispatch/${…}/rain-out
client/src/components/schedule/RecurringAlertsBannerV2.jsx,22,/admin/login
client/src/components/schedule/RecurringAlertsBannerV2.jsx,38,/admin/schedule/recurring-alerts
client/src/components/schedule/RecurringAlertsBannerV2.jsx,48,/admin/schedule/recurring-alerts/${…}/action
client/src/components/schedule/ScheduleClientSearch.jsx,121,/admin/schedule/list?search=${…}&from=${…}&limit=50
client/src/components/schedule/ScheduleCustomerSidebar.jsx,9,../admin/CallBridgeLink
client/src/components/schedule/ScheduleCustomerSidebar.jsx,121,/admin/customers/${…}${…}
client/src/components/schedule/ScheduleCustomerSidebar.jsx,188,/admin/dispatch/${…}/note
client/src/components/schedule/ScheduleCustomerSidebar.jsx,221,/admin/dispatch/${…}/status
client/src/components/schedule/ScheduleCustomerSidebar.jsx,342,/admin/communications?phone=${…}
client/src/components/schedule/ScheduleCustomerSidebar.jsx,396,/admin/invoices?customer=${…}
client/src/components/schedule/ScheduleListView.jsx,123,/admin/schedule/list?${…}
client/src/components/schedule/ScheduleListView.jsx,287,/admin/schedule/bulk-action
client/src/components/schedule/TimeGridDay.jsx,1247,/admin/schedule/${…}/assign
client/src/components/schedule/TimeGridDay.jsx,1266,/admin/dispatch/${…}/reschedule
client/src/components/schedule/TimeGridDay.jsx,1320,/admin/dispatch/${…}/reschedule
client/src/components/schedule/TimeGridDay.jsx,1396,/admin/dispatch/${…}/reschedule
client/src/components/schedule/TimeGridDay.jsx,1445,/admin/schedule/${…}/assign
client/src/components/schedule/TimeGridDay.jsx,1490,/admin/visits/group
client/src/components/schedule/TimeGridDay.jsx,1511,/admin/visits/${…}/split
client/src/components/schedule/TimeGridDays.jsx,737,/admin/schedule/week?start=${…}
client/src/components/schedule/TimeGridDays.jsx,935,/admin/schedule/${…}/assign
client/src/components/schedule/TimeGridDays.jsx,941,/admin/dispatch/${…}/reschedule
client/src/components/schedule/TimeGridDays.jsx,964,/admin/schedule/week?start=${…}
client/src/components/schedule/TreatmentPlanPanel.jsx,149,/admin/treatment-plans/${…}${…}
